,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10
HMDB00001,3.399355436586002,2.924633682912769,2.0596303699201743,1.353063222294426,2.69822331361359,2.3934853854217497,2.8951932200277324,2.6351718016819694,3.049552715319335,1.4647647884394321
HMDB00002,3.3173940656343257,2.1975996046923996,4.0752608726252655,1.3108121819104321,3.7359638031652493,2.197910783462648,1.3485819963855517,1.5161141659456785,1.6796526918056798,2.4241659464019163
HMDB00003,2.5228354880354997,1.426299996061421,1.975645407739017,4.142270358611864,3.727543170100711,2.436323669674032,2.0380034781682004,2.1200313267182613,2.6135179727304165,0.9772074348015944
HMDB00004,1.7426234625766548,0.33141592612241055,2.3992231226052794,2.647195939702741,1.516813537700626,3.5739867632900326,0.7742343369976588,0.5356251197901798,2.224451818559972,3.0470983026121545
HMDB00005,3.6839276914578685,1.54111573713106,3.078680833431296,1.9614915304992928,1.8273727000591804,2.8836599374866725,2.6523228784134196,0.4236078430157506,3.4765403497258958,3.3800913541474515
HMDB00006,1.3744372984904705,2.395803533437409,2.494030186282739,2.260673765823907,1.4496948461545798,1.3283766320619486,1.9744459290085548,3.1727290192593647,2.5436001545944324,1.629385667913894
HMDB00007,2.771698710648345,-0.8485426206300755,3.1487657003721035,0.26028622122190037,1.6375590585968678,0.8803301053738561,0.7053185242790942,3.1608267873785194,1.5322987986881087,2.346503881730716
HMDB00008,1.953079421120816,2.4770408272231217,2.076821891060255,0.7170077758114304,2.99626681944714,1.5062434168386876,0.44341810134024895,1.5718848390340874,3.500759790634311,2.8502217421134928
HMDB00009,1.6513478655921408,1.6507422956815712,1.6783649487826173,4.076747983560841,2.3819354522315535,2.4300416471910697,3.030283454031842,2.2387891590265134,1.740957854179297,1.8036501509150218
HMDB00010,1.928398740585936,1.9627777634901584,2.7276295436369797,2.0519458858072994,2.732640077215579,1.9192834198914177,2.0786351903160907,0.0017993154678923595,2.9163276747024813,2.346488475897993
HMDB00011,2.9980101098596523,-0.8962553781936893,4.088374704780728,1.8604103718448262,3.1081828167375165,0.9600940728744691,2.6127739050625696,0.9465844368263439,1.3762310393041948,3.914031353866786
HMDB00012,1.8093175992366535,2.217432873179723,2.870067730688754,2.4956818879726046,2.1504189051435763,2.3649610024662255,4.403415585238275,1.9423812029664147,2.2010990467149676,3.0506543960076122
HMDB00013,3.105525932957984,3.18703030556038,2.6387302220291846,0.8569950872695165,3.633431532301096,0.853654606981312,2.302635465239033,1.2457241499806422,1.9358616534070074,2.3287624103034803
HMDB00014,2.321357215450273,2.421920754235285,3.613711269058647,2.45353430151398,1.7558433647093512,2.964087168288357,3.1894704889246404,0.7723921848630075,2.597400069849858,2.701172742310898
HMDB00015,1.702436496640008,3.3757068133116195,1.8499444129674734,2.1255764534715422,1.8269281757161304,2.0155790475814674,0.9037249131047982,0.5599491174057056,3.594505063224972,1.1530386516816722
HMDB00016,1.0086076505436927,-0.1533901136037148,1.3610382523104978,0.6769102065925017,3.642015160136369,3.009817089342634,1.3118496548222762,4.252435805344309,2.9817654869915944,1.6751686164913775
HMDB00017,-0.4994057148735731,4.290942572590742,0.610427533236404,0.3546012530431082,3.0225704320096405,4.439752406339273,3.384272818510518,2.56390912005236,2.594754341665286,2.853415558780308
HMDB00018,2.7589285897867653,2.281191423969376,2.104201103951876,1.9374068721004776,1.2460354111333238,1.719324923133226,0.30704318580461454,1.9016603732052502,1.0114088928490825,0.8964106827842291
HMDB00019,2.1798941511534786,3.3920022863445993,2.918316606002313,0.429499396376823,1.0103718634296626,2.940771187988216,1.0175126064616904,1.7753668500029753,2.550052099024552,1.0316555451363647
HMDB00020,2.10537550614596,0.6659745050817956,1.3986323560487863,2.319781934142537,0.4070062664683307,2.440474737960399,1.9803622010733188,2.5524899544171475,2.2239141340646613,3.364140429973844
HMDB00021,2.125224502647907,1.570594458874747,2.122297503032284,2.543298029036388,2.0488600703257043,2.040591691203882,1.2980083121932446,1.3370990824490518,0.5973947282003065,3.7495767431869393
HMDB00022,0.7561367646087149,1.3070948022040927,1.2815927344308027,2.8949243769444415,1.7050503217079722,3.247742072673734,1.3265093757561315,2.278994162223802,1.1646529467402427,4.145149127773388
HMDB00023,0.8124015809704872,2.3098207102270276,2.6337768809320985,2.4137990974514985,1.8147123411222916,1.8701793002665739,2.0438114719791094,1.8529979983715115,2.9638791167949097,4.210523001591351
HMDB00024,1.4425082149921664,0.6301970204209222,1.9117179516487453,4.579709337654318,1.1963254320302692,3.6391168054440675,3.6777008140764407,1.4464117582920055,2.5689830791852755,3.628396623128538
HMDB00025,1.6208722590125129,1.7964196398976382,1.4183190860513561,0.9852432693071331,1.350722454933993,0.7760597332377435,2.034083468259226,1.2300267689413582,2.233785911790748,0.4441043537963727
HMDB00026,2.330880232214457,2.8335289616089248,0.006264357428544587,2.374056569847572,3.2276689924732924,0.7903589813087946,3.6725723868377034,2.4190190093660453,1.2949881442415911,1.944230922342294
HMDB00027,2.5583269125217223,2.0760053914124117,2.538755992446369,1.0793264069206336,2.1693608240360778,0.5862855030950198,1.8887739386512996,1.0960923585352103,1.2644700574102334,3.2360931752104376
HMDB00028,3.091310120594269,2.609138120907177,0.907687235327421,1.6835915503051981,3.2130976999791834,2.141716913639905,4.319329539981695,2.393317839394372,2.1920491164900318,1.6908835357974987
HMDB00029,2.1335409047822824,1.847530163619456,2.7081086766885907,2.9567023167945843,1.2140105394920506,0.668767046442222,0.16379462689670343,2.507991326912544,0.8966333938261264,-0.15289059295248286
HMDB00030,2.3885786045309643,4.492999517432791,1.9939290884601066,2.8384907744516417,2.081829358547565,1.9011103468088573,2.9190764829877685,1.7097254558113486,2.267392314071903,2.3216978061960134
HMDB00031,1.3319095463569512,2.992042349536523,1.8250402433045914,1.2442548405071552,2.5365098435704034,1.1015320182089627,2.0281811573691284,1.9908810033557964,3.085895565831578,2.4746982328799527
HMDB00032,1.974973041254856,2.817766299200287,3.3902075490173136,2.557810306351862,2.0103526198433808,0.6881637676498404,0.9348863369246274,1.6947752956453324,1.3904877978407169,1.813028697014554
HMDB00033,2.056649924897107,2.5296927543567307,1.929501221940909,2.4865016438262018,2.06447441481012,0.0245334336461287,1.0606646061812457,1.8559124442783845,0.7903052571588924,2.5999287299962046
